idsismo,idcountry,mag,place,time,tsunami,lng,lat,depth,danger
1,1,3.24,"11km N of Delta, B.C., MX",2010-01-01 02:33:42,0,-115.2028333,32.4538333,5.995,0
2,1,3.0,"10 km SW of Fairview, Wyoming",2010-01-01 04:13:44,0,-111.058,42.616,5.0,0
3,1,3.6,"10 km ESE of Maupin, Oregon",2010-01-02 16:36:45,0,-120.9555,45.137,14.468,0
4,1,3.3,"19 km SE of Sleepy Hollow, Wyoming",2010-01-03 18:53:01,0,-105.271,44.099,0.0,0
5,1,3.81,"25km E of Primo Tapia, B.C., MX",2010-01-04 00:02:17,0,-116.655,32.1915,5.631,0
6,1,4.12,"1 km N of Myers Flat, California",2010-01-04 14:24:54,0,-123.8685,40.2773333,29.763,2
7,1,4.1,"8 km S of Cedar City, Utah",2010-01-04 16:24:02,0,-113.0551667,37.5996667,9.08,0
8,1,3.39,"9km SW of Searles Valley, CA",2010-01-04 20:07:59,0,-117.4821667,35.7116667,8.636,0
9,1,3.12,"10km SW of Searles Valley, CA",2010-01-04 20:11:25,0,-117.485,35.7115,9.196,0
10,1,3.28,"9 km S of Cedar City, Utah",2010-01-05 04:55:24,0,-113.0591667,37.5906667,14.57,0
11,1,3.3,"25 km ESE of Wright, Wyoming",2010-01-05 19:42:26,0,-105.202,43.661,0.0,0
12,1,4.1,"109 km WNW of La Libertad, Mexico",2010-01-07 05:49:21,0,-113.739,30.299,10.0,0
13,1,4.05,"11 km ENE of Milpitas, California",2010-01-07 18:09:35,0,-121.7986667,37.4811667,10.753,0
14,1,3.73,"11 km N of East Foothills, California",2010-01-08 19:48:50,0,-121.793,37.4821667,9.373,0
15,1,3.4,"33 km ESE of Wright, Wyoming",2010-01-09 18:10:53,0,-105.111,43.637,0.0,0
16,1,3.3,"31 km SSE of Sleepy Hollow, Wyoming",2010-01-09 20:59:48,0,-105.235,43.992,0.0,0
17,1,3.2,"34 km NE of Edgerton, Wyoming",2010-01-09 21:03:37,0,-106.003,43.663,0.0,0
18,1,6.5,"37 km WNW of Ferndale, California",2010-01-10 00:27:39,0,-124.6925,40.652,28.737,2
19,1,3.46,"50 km WSW of Ferndale, California",2010-01-10 00:42:38,0,-124.8288333,40.4203333,17.72,0
20,1,3.71,"41 km W of Ferndale, California",2010-01-10 00:43:15,0,-124.752,40.6203333,28.289,2
21,1,3.32,"29 km WNW of Ferndale, California",2010-01-10 00:48:38,0,-124.5876667,40.6786667,23.44,0
22,1,3.15,"33 km WNW of Ferndale, California",2010-01-10 00:51:00,0,-124.6453333,40.6505,25.91,2
23,1,3.39,"42 km W of Ferndale, California",2010-01-10 01:06:17,0,-124.7698333,40.5905,24.28,0
24,1,4.41,"44 km W of Ferndale, California",2010-01-10 02:21:39,0,-124.7828333,40.6086667,20.38,0
25,1,3.04,"18km NE of Olancha, CA",2010-01-10 02:55:06,0,-117.8686667,36.4013333,3.932,0
26,1,3.97,"37 km W of Ferndale, California",2010-01-10 03:07:01,0,-124.699,40.6213333,25.16,0
27,1,4.12,"43 km SW of Ferndale, California",2010-01-10 06:32:17,0,-124.632,40.3086667,16.52,0
28,1,4.08,"6km NNE of Delta, B.C., MX",2010-01-10 06:35:53,0,-115.1755,32.4033333,5.986,0
29,1,3.91,"34 km W of Ferndale, California",2010-01-10 11:48:31,0,-124.664,40.636,23.3,0
30,1,3.03,"8 km NNE of Cambria, California",2010-01-10 16:07:28,0,-121.0366667,35.6341667,4.814,0
31,1,4.05,"51 km WSW of Ferndale, California",2010-01-11 06:44:37,0,-124.8486667,40.4626667,23.561,0
32,1,3.12,"36 km WNW of Ferndale, CA",2010-01-11 11:21:30,0,-124.6733333,40.657,26.15,2
33,1,3.12,"4km N of Banning, CA",2010-01-11 23:24:00,0,-116.8771667,33.9653333,8.642,0
34,1,3.24,"4km N of Banning, CA",2010-01-11 23:33:52,0,-116.8775,33.9658333,9.412,0
35,1,4.27,"4km N of Banning, CA",2010-01-12 02:36:08,0,-116.8763333,33.9663333,8.782,0
36,1,3.18,"52 km W of Ferndale, California",2010-01-12 02:53:36,0,-124.882,40.5075,14.078,0
37,1,3.15,"55 km W of Ferndale, California",2010-01-13 06:34:54,0,-124.9175,40.5255,16.261,0
38,1,3.7,"36 km NE of Seeley Lake, Montana",2010-01-13 11:17:55,0,-113.174,47.431,20.8,0
39,1,3.33,"36 km WNW of Ferndale, California",2010-01-13 17:36:27,0,-124.6865,40.6505,24.508,0
40,1,3.3,"5 km SE of Jones, Oklahoma",2010-01-14 10:05:34,0,-97.238,35.539,5.0,0
41,1,3.48,"10km E of Coso Junction, CA",2010-01-14 12:10:05,0,-117.8355,36.0378333,0.053,0
42,1,3.22,"10km E of Coso Junction, CA",2010-01-14 12:57:12,0,-117.834,36.0396667,0.373,0
43,1,3.4,"10km E of Coso Junction, CA",2010-01-14 13:37:00,0,-117.8363333,36.038,0.353,0
44,1,3.1,"23 km SE of Wright, Wyoming",2010-01-14 20:08:35,0,-105.321,43.579,0.0,0
45,1,3.05,"10km SW of Niland, CA",2010-01-15 02:01:34,0,-115.6051667,33.183,2.543,0
46,1,3.42,"10km NW of Calipatria, CA",2010-01-15 02:12:56,0,-115.6056667,33.1775,1.773,0
47,1,3.52,"11km NW of Calipatria, CA",2010-01-15 02:13:52,0,-115.6083333,33.1793333,1.803,0
48,1,4.41,"10km E of Coso Junction, CA",2010-01-15 08:23:27,0,-117.843,36.031,0.103,0
49,1,3.53,"10km E of Coso Junction, CA",2010-01-15 09:28:18,0,-117.8385,36.032,-0.327,0
50,1,3.61,"10km E of Coso Junction, CA",2010-01-15 10:29:58,0,-117.8398333,36.0291667,0.443,0
51,1,3.4,"9km E of Coso Junction, CA",2010-01-15 13:39:31,0,-117.8483333,36.036,0.013,0
52,1,3.1,"21km WSW of Alberto Oviedo Mota, B.C., MX",2010-01-15 13:42:17,0,-115.3745,32.1468333,5.962,0
53,1,3.8,"3 km ENE of Jones, Oklahoma",2010-01-15 15:18:26,0,-97.25,35.576,8.0,0
54,1,3.7,"3 km ESE of Jones, Oklahoma",2010-01-15 15:27:02,0,-97.249,35.555,8.0,0
55,1,3.43,"9km E of Coso Junction, CA",2010-01-16 06:36:18,0,-117.8443333,36.0376667,0.123,0
56,1,4.28,"4km W of Beaumont, CA",2010-01-16 12:03:25,0,-117.0231667,33.9321667,13.143,0
57,1,3.19,"21km WSW of Alberto Oviedo Mota, B.C., MX",2010-01-17 08:00:57,0,-115.377,32.1578333,5.995,0
58,1,3.0,"6 km ESE of Jones, Oklahoma",2010-01-17 13:33:43,0,-97.221,35.553,5.0,0
59,1,3.8,"30 km S of Segundo, Colorado",2010-01-18 08:41:07,0,-104.819,36.854,5.0,0
60,1,3.5,"6 km SSE of Topaz Ranch Estates, Nevada",2010-01-18 09:03:19,0,-119.4711,38.6825,11.4,0
61,1,3.09,"15 km SE of West Yellowstone, Montana",2010-01-18 18:03:13,0,-110.9666667,44.5583333,11.46,0
62,1,3.2,"21 km ENE of Wright, Wyoming",2010-01-18 19:08:13,0,-105.24,43.803,0.0,0
63,1,3.38,"15 km SE of West Yellowstone, Montana",2010-01-19 03:39:38,0,-110.9668333,44.5633333,11.16,0
64,1,3.07,"15 km SE of West Yellowstone, Montana",2010-01-19 04:42:13,0,-110.9618333,44.5668333,10.79,0
65,1,3.27,"15 km SE of West Yellowstone, Montana",2010-01-19 16:48:30,0,-110.9613333,44.5668333,10.37,0
66,1,3.6,"23 km E of Wright, Wyoming",2010-01-19 20:04:26,0,-105.202,43.757,0.0,0
67,1,3.63,"15 km SE of West Yellowstone, Montana",2010-01-19 21:32:30,0,-110.9695,44.5611667,10.29,0
68,1,3.22,"15 km SE of West Yellowstone, Montana",2010-01-20 01:35:35,0,-110.965,44.5593333,11.25,0
69,1,3.42,"15 km SE of West Yellowstone, Montana",2010-01-20 04:41:02,0,-110.9603333,44.5676667,10.77,0
70,1,3.37,"24km NE of Pine Valley, CA",2010-01-20 11:51:46,0,-116.3606667,32.9901667,4.497,0
71,1,3.3,"4 km WNW of Lynn, Arkansas",2010-01-20 21:18:46,0,-91.3025,36.0185,0.03,0
72,1,4.0,"4 km S of San Pedro Garza García, Mexico",2010-01-20 21:56:28,0,-100.405,25.624,5.0,0
73,1,3.74,"15 km SE of West Yellowstone, Montana",2010-01-21 06:01:49,0,-110.9733333,44.5631667,10.74,0
74,1,3.87,"15 km SE of West Yellowstone, Montana",2010-01-21 06:16:18,0,-110.9653333,44.5656667,11.3,0
75,1,3.0,"14 km SE of West Yellowstone, Montana",2010-01-21 13:23:30,0,-110.9681667,44.5768333,9.49,0
76,1,3.2,"6 km N of Schurz, Nevada",2010-01-22 02:52:29,0,-118.8184,39.0099,11.4,0
77,1,3.3,"16 km SE of West Yellowstone, Montana",2010-01-22 05:38:39,0,-110.9691667,44.5483333,11.11,0
78,1,3.3,"18 km ESE of Wright, Wyoming",2010-01-22 21:07:27,0,-105.277,43.689,0.0,0
79,1,3.03,"13km WNW of Calipatria, CA",2010-01-23 13:17:17,0,-115.6465,33.1568333,2.663,0
80,1,3.3,"25 km ENE of Wright, Wyoming",2010-01-23 19:03:00,0,-105.187,43.815,0.0,0
81,1,3.5,"33 km ESE of Kelly, Wyoming",2010-01-23 22:01:28,0,-110.241,43.511,8.0,0
82,1,3.6,"2 km ENE of Choctaw, Oklahoma",2010-01-24 07:14:52,0,-97.245,35.502,6.0,0
83,1,3.5,"8 km NE of Wright, Wyoming",2010-01-24 21:01:00,0,-105.404,43.8,0.0,0
84,1,3.19,"15 km SE of West Yellowstone, Montana",2010-01-25 06:09:45,0,-110.9586667,44.566,11.75,0
85,1,3.04,"16 km SE of West Yellowstone, Montana",2010-01-25 06:21:32,0,-110.9578333,44.5626667,12.01,0
86,1,3.04,"15 km SE of West Yellowstone, Montana",2010-01-25 10:27:35,0,-110.9561667,44.5648333,11.85,0
87,1,3.11,"15 km SE of West Yellowstone, Montana",2010-01-27 01:28:41,0,-110.961,44.5648333,11.59,0
88,1,3.1,"21 km NNE of Snyder, Texas",2010-01-27 04:59:33,0,-100.833,32.902,5.0,0
89,1,3.03,"15 km SE of West Yellowstone, Montana",2010-01-27 19:52:15,0,-110.9595,44.5713333,11.7,0
90,1,3.22,"14 km SE of West Yellowstone, Montana",2010-01-28 08:46:14,0,-110.9645,44.5713333,10.4,0
91,1,3.27,"8km SSW of Holtville, CA",2010-01-28 10:30:39,0,-115.406,32.7378333,14.99,0
92,1,3.6,"6 km W of Cobb, California",2010-01-30 09:32:33,0,-122.8008333,38.831,1.942,0
93,1,3.09,"9km SSW of Holtville, CA",2010-01-31 05:38:58,0,-115.4021667,32.735,14.99,0
94,1,3.3,"4km N of Guadalupe Victoria, B.C., MX",2010-01-31 11:54:59,0,-115.1116667,32.327,5.97,0
95,1,4.4,"56km SW of Rosarito, B.C., MX",2010-02-01 14:19:47,0,-117.5255,32.0493333,5.845,0
96,1,3.59,"51km SW of Rosarito, B.C., MX",2010-02-01 14:43:39,0,-117.4626667,32.054,5.836,0
97,1,3.1,"25 km SSE of Wright, Wyoming",2010-02-02 19:54:16,0,-105.333,43.548,0.0,0
98,1,3.12,"17 km SE of West Yellowstone, Montana",2010-02-03 02:31:45,0,-110.938,44.5555,8.37,0
99,1,3.62,"52km SW of Rosarito, B.C., MX",2010-02-04 02:06:28,0,-117.4813333,32.0645,5.836,0
100,1,3.3,"23 km N of Adrian, Texas",2010-02-04 09:41:28,0,-102.623,35.486,2.0,0
101,1,3.4,"21 km E of Wright, Wyoming",2010-02-04 19:07:09,0,-105.23,43.789,0.0,0
102,1,5.88,"61 km WSW of Ferndale, California",2010-02-04 20:20:21,0,-124.9613333,40.4123333,23.048,0
103,1,3.63,"63 km WSW of Ferndale, California",2010-02-06 04:05:05,0,-124.968,40.3723333,10.808,0
104,1,3.11,"7km WSW of El Centro, CA",2010-02-06 09:12:27,0,-115.6291667,32.7588333,15.368,0
105,1,3.16,"11 km ENE of Burnt Ranch, California",2010-02-06 13:07:31,0,-123.3385,40.8311667,32.655,2
106,1,3.39,"14 km NNE of Shandon, California",2010-02-07 02:01:23,0,-120.3351667,35.7826667,8.854,0
107,1,3.5,"8 km SSW of Tres Pinos, California",2010-02-08 19:56:23,0,-121.3635,36.723,2.886,0
108,1,3.8,"2 km NW of Lily Lake, Illinois",2010-02-10 09:59:35,0,-88.498,41.969,10.0,0
109,1,3.43,"3 km WNW of Parkfield, California",2010-02-11 08:33:42,0,-120.4658333,35.9148333,6.686,0
110,1,3.09,"53km WSW of Alberto Oviedo Mota, B.C., MX",2010-02-11 09:15:36,0,-115.6945,32.052,14.754,0
111,1,3.2,"6 km W of Burning Man Earth, Nevada",2010-02-12 04:37:32,0,-119.3111,40.7688,10.2,0
112,1,3.02,"10 km NE of Hildale, Utah",2010-02-12 22:37:09,0,-112.8966667,37.0778333,15.57,0
113,1,3.0,"36 km NNE of Princeton, Canada",2010-02-13 03:42:23,0,-120.252,49.738,17.6,0
114,1,3.0,"7 km NNE of Paonia, Colorado",2010-02-13 04:22:57,0,-107.555,38.927,1.0,0
115,1,3.2,"3 km N of Choctaw, Oklahoma",2010-02-13 05:30:55,0,-97.272,35.53,8.1,0
116,1,3.38,"4km SSW of Ocotillo, CA",2010-02-13 16:34:39,0,-116.0133333,32.7086667,6.359,0
117,1,3.4,"18 km E of Wright, Wyoming",2010-02-13 19:07:35,0,-105.257,43.766,0.0,0
118,1,4.1,"6km S of Redlands, CA",2010-02-13 21:39:06,0,-117.1796667,34.0045,8.025,0
119,1,3.09,"6km SSW of Ocotillo, CA",2010-02-14 00:01:13,0,-116.008,32.6866667,13.429,0
120,1,3.04,"13km SSE of Bombay Beach, CA",2010-02-14 06:58:27,0,-115.6995,33.2333333,3.293,0
121,1,3.27,"100km SSE of Maneadero, B.C., MX",2010-02-14 20:39:03,0,-116.0951667,30.9115,5.842,0
