Issued,Origin Time,Mag ,Depth,Lat ,Lon ,Location
05-11-2023 23:24:17,05-11-2023 23:19:44,5.6,6 Mi.,40.2° N,121.2° W,"85 MILES NW OF RENO, NEVADA"
05-10-2023 16:11:17,05-10-2023 16:02:00,7.4,132 Mi.,15.6° S,174.4° W,NEAR THE TONGA ISLANDS
05-10-2023 16:10:16,05-10-2023 16:02:00,7.4,132 Mi.,15.6° S,174.4° W,TONGA
05-10-2023 16:09:58,05-10-2023 16:02:00,7.4,132 Mi.,15.6° S,174.4° W,TONGA
05-10-2023 16:09:22,05-10-2023 16:02:00,7.4,132 Mi.,15.6° S,174.4° W,TONGA
05-10-2023 16:09:00,05-10-2023 16:02:00,7.4,132 Mi.,15.6° S,174.4° W,ABOUT 176 MILES SOUTHWEST OF SAVAII ISLAND
02-15-2023 07:41:21,02-15-2023 07:35:24,5.2,24 Mi.,51.2° N,179.4° W,"70 MILES SE OF AMCHITKA, ALASKA"
02-15-2023 07:29:24,02-15-2023 07:27:06,4.7,21 Mi.,19.1° N,155.4° W,OFF THE KAU COAST OF THE BIG ISLAND
02-02-2023 14:52:02,02-02-2023 14:48:24,4.8,76 Mi.,61.1° N,152.2° W,"105 MILES NW OF HOMER, ALASKA"
02-01-2023 11:16:36,02-01-2023 11:11:15,5.3,6 Mi.,18° N,70.3° W,ABOUT 156 MILES WEST OF ISLA MONA
01-29-2023 18:36:36,01-29-2023 18:32:35,5,6 Mi.,19.2° N,69.9° W,ABOUT 149 MILES NORTHWEST OF ISLA MONA
01-25-2023 15:17:43,01-25-2023 15:13:34,4.1,30 Mi.,57.5° N,154.8° W,"90 MILES SW OF KODIAK CITY, ALASKA"
01-25-2023 10:04:25,01-25-2023 10:00:55,4.2,1 Mi.,34° N,118.6° W,"100 MILES SE OF BAKERSFIELD, CALIFORNIA"
01-23-2023 21:49:44,01-23-2023 21:44:43,4.2,19 Mi.,69.6° N,144.9° W,"45 MILES SW OF BARTER I., ALASKA"
01-20-2023 11:29:37,01-20-2023 11:23:40,5.8,103 Mi.,16.2° N,62° W,LEEWARD ISLANDS
01-18-2023 06:52:37,01-18-2023 06:06:15,7.2,37 Mi.,2.8° N,127.1° E,MOLUCCA SEA
01-18-2023 06:16:17,01-18-2023 06:06:15,7.2,37 Mi.,2.8° N,127.1° E,"IN THE NORTHERN MOLUCCA SEA, INDONESIA"
01-18-2023 06:15:40,01-18-2023 06:06:15,7.2,37 Mi.,2.8° N,127.1° E,MOLUCCA SEA
01-18-2023 06:14:30,01-18-2023 06:06:15,7.2,37 Mi.,2.8° N,127.1° E,MOLUCCA SEA
01-18-2023 06:14:05,01-18-2023 06:06:15,7.2,37 Mi.,2.8° N,127.1° E,MOLUCCA SEA
01-18-2023 06:12:43,01-18-2023 06:06:15,7.2,37 Mi.,2.8° N,127.1° E,MOLUCCA SEA
01-17-2023 04:51:36,01-17-2023 04:48:15,4.2,4 Mi.,58.2° N,137.5° W,"105 MILES SW OF HAINES, ALASKA"
01-16-2023 17:46:30,01-16-2023 17:43:26,4.7,14 Mi.,61.7° N,149.5° W,"15 MILES NW OF PALMER, ALASKA"
01-11-2023 07:07:48,01-11-2023 07:00:50,4.4,65 Mi.,60.1° N,140.8° W,"55 MILES NW OF YAKUTAT, ALASKA"
01-10-2023 19:46:36,01-10-2023 19:42:04,5.3,19 Mi.,54.9° N,157° W,"115 MILES SE OF CHIGNIK, ALASKA"
01-08-2023 13:44:46,01-08-2023 12:32:43,7,6 Mi.,15.1° S,166.7° E,VANUATU
01-08-2023 13:07:28,01-08-2023 12:32:43,7,6 Mi.,15.1° S,166.7° E,VANUATU
01-08-2023 12:41:16,01-08-2023 12:32:43,7.2,6 Mi.,15.1° S,166.7° E,NEAR THE VANUATU ISLANDS
01-08-2023 12:41:10,01-08-2023 12:32:43,7.2,6 Mi.,15.1° S,166.7° E,VANUATU
01-08-2023 12:40:50,01-08-2023 12:32:43,7.2,6 Mi.,15.1° S,166.7° E,VANUATU
01-08-2023 12:40:27,01-08-2023 12:32:43,7.2,6 Mi.,15.1° S,166.7° E,VANUATU
01-08-2023 12:39:49,01-08-2023 12:32:43,7.2,6 Mi.,15.1° S,166.7° E,VANUATU
01-08-2023 07:05:02,01-08-2023 06:59:38,4.7,6 Mi.,19° N,65.1° W,ABOUT 44 MILES NORTHWEST OF JOST VAN DYKE
01-04-2023 16:54:43,01-04-2023 16:44:23,4.5,65 Mi.,18.6° N,69.1° W,ABOUT 82 MILES NORTHWEST OF ISLA MONA
01-01-2023 18:38:39,01-01-2023 18:35:02,5.2,9 Mi.,40.4° N,124.2° W,"30 MILES S OF EUREKA, CALIFORNIA"
12-30-2022 18:53:17,12-30-2022 18:49:24,4.1,72 Mi.,18.6° N,67.1° W,ABOUT 8 MILES NORTH OF PUERTO RICO
12-28-2022 16:44:40,12-28-2022 16:34:25,6.5,6 Mi.,21.3° S,171.4° E,IN THE LOYALTY ISLANDS REGION
12-28-2022 16:43:57,12-28-2022 16:34:25,6.5,6 Mi.,21.3° S,171.4° E,SOUTHEAST OF LOYALTY ISLANDS
12-28-2022 16:43:35,12-28-2022 16:34:25,6.5,6 Mi.,21.3° S,171.4° E,SOUTHEAST OF LOYALTY ISLANDS
12-28-2022 16:42:53,12-28-2022 16:34:25,6.5,6 Mi.,21.3° S,171.4° E,SOUTHEAST OF LOYALTY ISLANDS
