Hora,Ubicacion,Magnitud,Intensidad,Emitido
16.03.2022,Off Fukushima,7.3,4,63 km
20.03.2021,Honshu Island,7.0,0,43 km
13.02.2021,Off Fukushima,7.1,1,49 km
18.06.2019,Niigata Prefecture,6.4,0,12 km
05.09.2018,Hokkaido,6.6,44,35 km
17.06.2018,Osaka,5.5,5,10 km
06.05.2018,Honshu (S. Of),5.4,0,10 km
08.04.2018,Shimane Prefecture,5.7,0,10 km
21.11.2016,Near E Coast Honshu,6.9,0,27 km
21.10.2016,Kurayoshi,6.2,0,39 km
20.08.2016,Off East Coast Honshu,6.0,0,26 km
15.04.2016,"Kumamoto, Oita",7.0,50,22 km
13.11.2015,Kyusyu Island,6.7,0,3 km
30.05.2015,Bonin Islands [chichijima Island],7.8,0,11 km
02.05.2015,Honshu (S. Of),5.7,0,39 km
16.02.2015,Honshu,6.7,0,27 km
22.11.2014,"Nagano (Hakuba, Otari)",6.2,0,42 km
11.07.2014,Sanriku,6.5,0,22 km
13.03.2014,Southwestern,6.3,0,17 km
25.10.2013,Honshu (E Coast),7.1,0, 
17.04.2013,Miyakejima,5.8,0,33 km
12.04.2013,Japan,5.8,0,17 km
07.12.2012,Honshu (Miyagi Prefecture),7.2,0,23 km
14.03.2012,Hokkaido,6.9,0,35 km
10.07.2011,Honshu (E Coast),7.0,0,10 km
11.04.2011,Honshu,6.6,7,12 km
07.04.2011,Near E Coast Honshu,7.1,3,43 km
11.03.2011,Honshu,9.1,1475,24 km
11.03.2011,Near E Coast Honshu,7.9,0,40 km
11.03.2011,Off East Coast Honshu,7.6,0,50 km
09.03.2011,Honshu (E Coast),7.5,0,20 km
21.12.2010,Bonin Islands,7.4,0,40 km
26.02.2010,"Tori Shima, Okinawa",7.0,0,26 km
17.12.2009,Honshu (Ito),4.9,0,36 km
10.08.2009,Honshu (S Coast),6.4,1,9 km
11.09.2008,Hokkaido,6.8,0,50 km
23.07.2008,Honshu,6.8,1,19 km
19.07.2008,Off East Coast Of Honshu Island,6.9,0,28 km
13.06.2008,Honshu (Tokyo),6.9,13,45 km
07.05.2008,Honshu (E Coast),6.8,0,20 km
28.09.2007,Volcano Islands,7.5,0,57 km
16.07.2007,Honshu (W Coast),6.6,9,22 km
15.04.2007,Honshu,4.6,0,30 km
25.03.2007,Honshu (W Coast),6.7,1,57 km
11.06.2006,Kyushu,6.3,0,26 km
14.11.2005,East Coast Honshu,7.0,0,51 km
16.08.2005,East Coast Honshu,7.2,0,28 km
23.07.2005,Honshu (Tokyo),5.9,0,56 km
20.03.2005,"Kyushu (Fukuoka, Genkai)",6.6,1,41 km
19.01.2005,East Coast Honshu,6.6,0,36 km
14.12.2004,"Hokkaido (Obiro, Haboro, Tomamae)",5.8,0,10 km
06.12.2004,Hokkaido (Kushiro),6.8,0,11 km
28.11.2004,"Hokkaido (Bekkai, Kushiro, Nemouro)",7.0,0,14 km
08.11.2004,Honshu (Niigata Prefecture),5.5,0,58 km
27.10.2004,Honshu (Niigata Prefecture),5.9,0,50 km
23.10.2004,Honshu (Niigata Prefecture),6.6,40, 
05.09.2004,"Honshu (W Coast: Kyoto, Wakayama, Sakai)",7.4,0,18 km
05.09.2004,Honshu (W Coast: Kyoto),7.2,0,7 km
31.10.2003,East Coast Honshu,7.0,0,28 km
15.10.2003,Near S Coast Honshu (Atsugi),5.2,0,35 km
25.09.2003,Hokkaido,8.3,0,6 km
20.09.2003,Honshu (Tokyo),5.7,0,50 km
25.07.2003,"Honshu (Miyagi, Iwate)",5.5,0,7 km
26.05.2003,"Honshu (Iwate, Miyagi, Yamagata, Akita)",7.0,0,33 km
26.03.2002,Ryukyu Islands,6.4,0,48 km
24.03.2001,"Hiroshima, Okayama, Honshu, Kagama",6.8,2,53 km
06.10.2000,"Honshu (W: Okayama, Tottori)",6.7,0,19 km
30.07.2000,Honshu,6.5,0,45 km
15.07.2000,Near S Coast Honshu (Nii-Jima),6.1,0,30 km
01.07.2000,Near S Coast Honshu (Kozu-Shima),6.1,1,55 km
28.03.2000,Volcano Islands,7.6,0,22 km
30.09.1997,Honshu,6.2,0,24 km
26.03.1997,"Kyushu, Kagoshima",6.1,0,47 km
02.12.1996,Kyushu,6.7,0,59 km
19.10.1996,Kyushu Island,6.7,0,40 km
18.10.1996,Kyushu Island,6.6,0,20 km
